year,period,metro_labor_force,metro_employment,metro_unemployment,metro_unemployment_rate,state_civilian_noninstitutional_population,state_labor_force_participation_rate,state_employment_population_ratio,state_labor_force,state_employment,state_unemployment,state_unemployment_rate
2012,Jan,984093,860696,123397,12.5,2108162,64.1,56.1,1352031,1182062,169969,12.6
2012,Feb,992941,871300,121641,12.3,2110764,64.7,56.7,1365251,1197510,167741,12.3
2012,Mar,990857,871710,119147,12.0,2113359,64.5,56.7,1362237,1198222,164015,12.0
2012,Apr,988676,873128,115548,11.7,2116001,64.2,56.7,1357994,1199412,158582,11.7
2012,May,996028,879561,116467,11.7,2118612,64.6,57.1,1369670,1210331,159339,11.6
2012,Jun,993847,873444,120403,12.1,2121395,64.6,56.9,1370416,1206213,164203,12.0
2012,Jul,997665,874684,122981,12.3,2124233,64.8,56.9,1375685,1209108,166577,12.1
2012,Aug,987484,869013,118471,12.0,2127048,64.4,56.8,1368834,1208475,160359,11.7
2012,Sep,990804,878944,111860,11.3,2129876,64.3,57.2,1369862,1218388,151474,11.1
2012,Oct,996309,886440,109869,11.0,2132662,64.4,57.4,1373258,1224109,149149,10.9
2012,Nov,991865,887267,104598,10.5,2135395,63.9,57.2,1365167,1222465,142702,10.5
2012,Dec,993431,885385,108046,10.9,2137941,63.8,56.9,1364095,1216505,147590,10.8
2013,Jan,996883,884300,112583,11.3,2140368,63.8,56.5,1366071,1209796,156275,11.4
2013,Feb,997439,892914,104525,10.5,2142588,63.9,57.1,1368694,1223557,145137,10.6
2013,Mar,994893,893063,101830,10.2,2144822,63.6,57.0,1363978,1223210,140768,10.3
2013,Apr,995705,896565,99140,10.0,2147154,63.5,57.2,1364260,1227713,136547,10.0
2013,May,1000983,900949,100034,10.0,2149619,63.9,57.6,1373968,1237207,136761,10.0
2013,Jun,1002088,896561,105527,10.5,2152150,64.0,57.3,1378180,1234255,143925,10.4
2013,Jul,1004688,900665,104023,10.4,2154816,64.1,57.6,1381532,1240470,141062,10.2
2013,Aug,994908,895021,99887,10.0,2158236,63.6,57.3,1372404,1237246,135158,9.8
2013,Sep,998538,900808,97730,9.8,2161607,63.6,57.5,1375850,1243796,132054,9.6
2013,Oct,997750,902223,95527,9.6,2164903,63.3,57.3,1369766,1240559,129207,9.4
2013,Nov,998770,908242,90528,9.1,2168144,63.2,57.6,1370550,1248012,122538,8.9
2013,Dec,994493,905130,89363,9.0,2171241,62.8,57.2,1363471,1242428,121043,8.9
2014,Jan,999566,908448,91118,9.1,2174343,62.8,57.1,1366558,1241153,125405,9.2
2014,Feb,1008127,919008,89119,8.8,2177240,63.3,57.6,1377291,1254436,122855,8.9
2014,Mar,1010959,921389,89570,8.9,2180188,63.4,57.7,1381264,1258419,122845,8.9
2014,Apr,1001015,921649,79366,7.9,2183244,62.6,57.6,1366459,1258126,108333,7.9
2014,May,1009956,927065,82891,8.2,2186235,63.1,58.0,1380382,1267922,112460,8.1
2014,Jun,1008503,923867,84636,8.4,2189378,63.0,57.8,1379914,1265694,114220,8.3
2014,Jul,1015232,927143,88089,8.7,2192599,63.4,58.0,1389217,1271090,118127,8.5
2014,Aug,1009535,925099,84436,8.4,2196560,62.8,57.7,1380518,1267442,113076,8.2
2014,Sep,1011103,931417,79686,7.9,2200552,62.9,58.0,1383461,1276358,107103,7.7
2014,Oct,1017882,940582,77300,7.6,2204509,63.0,58.3,1388145,1284303,103842,7.5
2014,Nov,1017927,941424,76503,7.5,2208283,62.9,58.2,1388485,1285499,102986,7.4
2014,Dec,1010831,936162,74669,7.4,2211859,62.4,57.8,1379319,1278651,100668,7.3
2015,Jan,1020716,941757,78959,7.7,2215425,62.5,57.7,1385693,1277948,107745,7.8
2015,Feb,1023476,948877,74599,7.3,2218759,62.8,58.2,1393239,1291066,102173,7.3
2015,Mar,1021010,949812,71198,7.0,2222091,62.5,58.2,1389734,1292663,97071,7.0
2015,Apr,1024871,953117,71754,7.0,2225535,62.6,58.2,1392466,1294872,97594,7.0
2015,May,1031130,959895,71235,6.9,2229088,63.0,58.6,1403467,1307292,96175,6.9
2015,Jun,1027181,954009,73172,7.1,2232794,62.6,58.3,1398835,1300777,98058,7.0
2015,Jul,1033368,958816,74552,7.2,2236496,62.8,58.4,1405212,1305896,99316,7.1
2015,Aug,1028664,957947,70717,6.9,2240387,62.3,58.1,1396155,1302361,93794,6.7
2015,Sep,1028081,959025,69056,6.7,2244284,62.3,58.2,1398135,1306555,91580,6.6
2015,Oct,1030425,963553,66872,6.5,2248135,62.3,58.3,1399900,1310712,89188,6.4
2015,Nov,1032123,966398,65725,6.4,2251878,62.2,58.3,1401763,1313610,88153,6.3
2015,Dec,1026425,961646,64779,6.3,2255466,61.9,58.1,1396531,1309375,87156,6.2
2016,Jan,1031872,965670,66202,6.4,2259069,61.9,57.9,1398878,1308538,90340,6.5
2016,Feb,1036973,973756,63217,6.1,2262476,62.3,58.5,1410638,1324495,86143,6.1
2016,Mar,1036362,972569,63793,6.2,2265948,62.3,58.5,1412514,1326013,86501,6.1
2016,Apr,1035223,972721,62502,6.0,2269583,62.0,58.3,1406794,1323100,83694,5.9
2016,May,1036681,977456,59225,5.7,2273098,62.1,58.6,1411202,1332535,78667,5.6
2016,Jun,1039261,974842,64419,6.2,2276707,62.1,58.4,1414193,1328997,85196,6.0
2016,Jul,1046085,982155,63930,6.1,2280511,62.3,58.6,1420329,1336447,83882,5.9
2016,Aug,1040229,978728,61501,5.9,2284685,61.9,58.4,1413917,1333221,80696,5.7
2016,Sep,1044536,983033,61503,5.9,2289002,62.1,58.5,1420949,1340083,80866,5.7
2016,Oct,1047995,988460,59535,5.7,2293207,62.0,58.6,1422918,1344559,78359,5.5
2016,Nov,1046483,990518,55965,5.3,2297276,61.9,58.7,1422198,1348481,73717,5.2
2016,Dec,1041802,985684,56118,5.4,2301284,61.5,58.3,1416267,1342215,74052,5.2
2017,Jan,1047458,988700,58758,5.6,2287982,61.9,58.4,1415919,1336449,79470,5.6
2017,Feb,1053739,996777,56962,5.4,2291388,62.5,59.1,1431505,1354953,76552,5.3
2017,Mar,1050903,996015,54888,5.2,2294862,62.4,59.2,1432867,1359668,73199,5.1
2017,Apr,1053144,997368,55776,5.3,2298398,62.4,59.2,1434721,1361615,73106,5.1
2017,May,1054851,1001612,53239,5.0,2301965,62.5,59.5,1438829,1369129,69700,4.8
2017,Jun,1055821,998995,56826,5.4,2305622,62.6,59.4,1442440,1368906,73534,5.1
2017,Jul,1063720,1006234,57486,5.4,2309416,62.8,59.6,1450571,1376240,74331,5.1
2017,Aug,1061678,1005145,56533,5.3,2313778,62.6,59.4,1447303,1374396,72907,5.0
2017,Sep,1071400,1015876,55524,5.2,2318293,63.0,59.9,1460755,1389221,71534,4.9
2017,Oct,1071172,1018991,52181,4.9,2322703,62.8,59.9,1457739,1390236,67503,4.6
2017,Nov,1073972,1021775,52197,4.9,2326949,62.8,59.9,1461414,1393960,67454,4.6
2017,Dec,1069252,1016947,52305,4.9,2331090,62.5,59.6,1457082,1389490,67592,4.6
2018,Jan,1074393,1019188,55205,5.1,2335050,62.6,59.4,1460798,1387611,73187,5.0
2018,Feb,1086682,1033449,53233,4.9,2338856,63.4,60.4,1482370,1412307,70063,4.7
2018,Mar,1085051,1032981,52070,4.8,2342755,63.2,60.3,1481651,1413140,68511,4.6
2018,Apr,1084802,1034242,50560,4.7,2346773,63.1,60.3,1480215,1414481,65734,4.4
2018,May,1090581,1043066,47515,4.4,2350796,63.3,60.7,1488814,1427373,61441,4.1
2018,Jun,1090561,1037826,52735,4.8,2355025,63.4,60.5,1492166,1424420,67746,4.5
2018,Jul,1098267,1046536,51731,4.7,2359210,63.6,60.8,1500672,1434063,66609,4.4
2018,Aug,1091943,1042087,49856,4.6,2363853,63.0,60.3,1489851,1425476,64375,4.3
2018,Sep,1099666,1050254,49412,4.5,2368649,63.5,60.8,1503356,1439977,63379,4.2
2018,Oct,1107623,1060125,47498,4.3,2373305,63.6,61.1,1510362,1449017,61345,4.1
2018,Nov,1109076,1062996,46080,4.2,2377760,63.6,61.1,1512417,1452708,59709,3.9
