date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-05-17,2,No,,,32003,5366,1748,0.027,0.032,0.054,0.145,0.742
2020-05-18,2,No,,,32003,5463,1748,0.027,0.032,0.054,0.145,0.742
2020-05-19,2,No,,,32003,5463,1748,0.027,0.032,0.054,0.145,0.742
2020-05-20,2,No,,,32003,5650,1748,0.027,0.032,0.054,0.145,0.742
2020-05-21,2,No,,,32003,5734,1748,0.027,0.032,0.054,0.145,0.742
2020-05-22,2,No,,,32003,5815,1748,0.027,0.032,0.054,0.145,0.742
2020-05-23,2,No,,,32003,5815,1748,0.027,0.032,0.054,0.145,0.742
2020-05-24,2,No,,,32003,6140,1748,0.027,0.032,0.054,0.145,0.742
2020-05-25,2,No,,,32003,6182,1748,0.027,0.032,0.054,0.145,0.742
2020-05-26,2,No,,,32003,6226,1748,0.027,0.032,0.054,0.145,0.742
2020-05-27,2,No,,,32003,6287,1748,0.027,0.032,0.054,0.145,0.742
2020-05-28,2,No,,,32003,6352,1748,0.027,0.032,0.054,0.145,0.742
2020-04-10,2,No,,,32003,2144,1748,0.027,0.032,0.054,0.145,0.742
2020-04-11,2,No,,,32003,2144,1748,0.027,0.032,0.054,0.145,0.742
2020-04-12,2,No,,,32003,2324,1748,0.027,0.032,0.054,0.145,0.742
2020-04-13,2,No,,,32003,2444,1748,0.027,0.032,0.054,0.145,0.742
2020-04-14,2,No,,,32003,2509,1748,0.027,0.032,0.054,0.145,0.742
2020-04-15,2,No,,,32003,2559,1748,0.027,0.032,0.054,0.145,0.742
2020-04-16,2,No,,,32003,2559,1748,0.027,0.032,0.054,0.145,0.742
2020-04-17,2,No,,,32003,2738,1748,0.027,0.032,0.054,0.145,0.742
2020-04-18,2,No,,,32003,2882,1748,0.027,0.032,0.054,0.145,0.742
2020-04-19,2,No,,,32003,2940,1748,0.027,0.032,0.054,0.145,0.742
2020-04-20,2,No,,,32003,2998,1748,0.027,0.032,0.054,0.145,0.742
2020-04-21,2,No,,,32003,3099,1748,0.027,0.032,0.054,0.145,0.742
2020-04-22,2,No,,,32003,3218,1748,0.027,0.032,0.054,0.145,0.742
2020-04-23,2,No,,,32003,3314,1748,0.027,0.032,0.054,0.145,0.742
2020-04-24,2,No,,,32003,3443,1748,0.027,0.032,0.054,0.145,0.742
2020-04-25,2,No,,,32003,3570,1748,0.027,0.032,0.054,0.145,0.742
2020-04-26,2,No,,,32003,3665,1748,0.027,0.032,0.054,0.145,0.742
2020-04-27,2,No,,,32003,3717,1748,0.027,0.032,0.054,0.145,0.742
2020-04-28,2,No,,,32003,3793,1748,0.027,0.032,0.054,0.145,0.742
2020-04-29,2,No,,,32003,3891,1748,0.027,0.032,0.054,0.145,0.742
2020-04-30,2,No,,,32003,3979,1748,0.027,0.032,0.054,0.145,0.742
2020-05-01,2,No,,,32003,4118,1748,0.027,0.032,0.054,0.145,0.742
2020-05-02,2,No,,,32003,4225,1748,0.027,0.032,0.054,0.145,0.742
2020-05-03,2,No,,,32003,4274,1748,0.027,0.032,0.054,0.145,0.742
2020-05-04,2,No,,,32003,4411,1748,0.027,0.032,0.054,0.145,0.742
2020-05-05,2,No,,,32003,4408,1748,0.027,0.032,0.054,0.145,0.742
2020-05-06,2,No,,,32003,4473,1748,0.027,0.032,0.054,0.145,0.742
2020-05-07,2,No,,,32003,4573,1748,0.027,0.032,0.054,0.145,0.742
2020-05-08,2,No,,,32003,4573,1748,0.027,0.032,0.054,0.145,0.742
2020-05-09,2,No,,,32003,4704,1748,0.027,0.032,0.054,0.145,0.742
2020-05-10,2,No,,,32003,4750,1748,0.027,0.032,0.054,0.145,0.742
2020-05-11,2,No,,,32003,4762,1748,0.027,0.032,0.054,0.145,0.742
2020-05-12,2,No,,,32003,4869,1748,0.027,0.032,0.054,0.145,0.742
2020-05-13,2,No,,,32003,5045,1748,0.027,0.032,0.054,0.145,0.742
2020-05-14,2,No,,,32003,5045,1748,0.027,0.032,0.054,0.145,0.742
2020-05-15,2,No,,,32003,5235,1748,0.027,0.032,0.054,0.145,0.742
2020-05-16,2,No,,,32003,5298,1748,0.027,0.032,0.054,0.145,0.742
2020-05-29,2,No,,,32003,6457,1748,0.027,0.032,0.054,0.145,0.742
2020-05-30,2,No,,,32003,6579,1748,0.027,0.032,0.054,0.145,0.742
2020-05-31,2,No,,,32003,6657,1748,0.027,0.032,0.054,0.145,0.742
2020-06-01,2,No,,,32003,6719,1748,0.027,0.032,0.054,0.145,0.742
2020-06-02,2,No,,,32003,6845,1748,0.027,0.032,0.054,0.145,0.742
2020-06-03,2,No,,,32003,6923,1748,0.027,0.032,0.054,0.145,0.742
2020-06-04,2,No,,,32003,7056,1748,0.027,0.032,0.054,0.145,0.742
2020-06-05,2,No,,,32003,7186,1748,0.027,0.032,0.054,0.145,0.742
2020-06-06,2,No,,,32003,7331,1748,0.027,0.032,0.054,0.145,0.742
2020-06-07,2,No,,,32003,7483,1748,0.027,0.032,0.054,0.145,0.742
2020-06-08,2,No,,,32003,7592,1748,0.027,0.032,0.054,0.145,0.742
2020-06-09,2,No,,,32003,7799,1748,0.027,0.032,0.054,0.145,0.742
2020-06-10,2,No,,,32003,7915,1748,0.027,0.032,0.054,0.145,0.742
2020-06-11,2,No,,,32003,8100,1748,0.027,0.032,0.054,0.145,0.742
2020-06-12,2,No,,,32003,8314,1748,0.027,0.032,0.054,0.145,0.742
2020-06-13,2,No,,,32003,8556,1748,0.027,0.032,0.054,0.145,0.742
2020-06-14,2,No,,,32003,8735,1748,0.027,0.032,0.054,0.145,0.742
2020-06-15,2,No,,,32003,8815,1748,0.027,0.032,0.054,0.145,0.742
2020-06-16,2,No,,,32003,9157,1748,0.027,0.032,0.054,0.145,0.742
2020-06-17,2,No,,,32003,9318,1748,0.027,0.032,0.054,0.145,0.742
2020-06-18,2,No,,,32003,9535,1748,0.027,0.032,0.054,0.145,0.742
2020-06-19,2,No,,,32003,9852,1748,0.027,0.032,0.054,0.145,0.742
2020-06-20,2,No,,,32003,10259,1748,0.027,0.032,0.054,0.145,0.742
2020-06-21,2,No,,,32003,10486,1748,0.027,0.032,0.054,0.145,0.742
2020-06-22,2,No,,,32003,10774,1748,0.027,0.032,0.054,0.145,0.742
2020-06-23,2,No,,,32003,11186,1748,0.027,0.032,0.054,0.145,0.742
2020-06-24,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,11481,1748,0.027,0.032,0.054,0.145,0.742
2020-06-25,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,11878,1748,0.027,0.032,0.054,0.145,0.742
2020-06-26,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,12204,1748,0.027,0.032,0.054,0.145,0.742
2020-06-27,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,13174,1748,0.027,0.032,0.054,0.145,0.742
2020-06-28,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,13910,1748,0.027,0.032,0.054,0.145,0.742
2020-06-29,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,14607,1748,0.027,0.032,0.054,0.145,0.742
2020-06-30,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,15095,1748,0.027,0.032,0.054,0.145,0.742
2020-07-01,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,15604,1748,0.027,0.032,0.054,0.145,0.742
2020-07-02,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,16180,1748,0.027,0.032,0.054,0.145,0.742
2020-07-03,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,17028,1748,0.027,0.032,0.054,0.145,0.742
2020-07-04,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,17707,1748,0.027,0.032,0.054,0.145,0.742
2020-07-05,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,18442,1748,0.027,0.032,0.054,0.145,0.742
2020-07-06,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,18818,1748,0.027,0.032,0.054,0.145,0.742
2020-07-07,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,19654,1748,0.027,0.032,0.054,0.145,0.742
2020-07-08,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,20126,1748,0.027,0.032,0.054,0.145,0.742
2020-07-09,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,20622,1748,0.027,0.032,0.054,0.145,0.742
2020-07-10,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,21449,1748,0.027,0.032,0.054,0.145,0.742
