order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,date,slope,avg_slope
2,No,,,32003,5366,1748,0.027,0.032,0.054,0.145,0.742,2020-05-17,0.0,0.0
2,No,,,32003,5463,1748,0.027,0.032,0.054,0.145,0.742,2020-05-18,97.0,0.0
2,No,,,32003,5463,1748,0.027,0.032,0.054,0.145,0.742,2020-05-19,0.0,0.0
2,No,,,32003,5650,1748,0.027,0.032,0.054,0.145,0.742,2020-05-20,187.0,0.0
2,No,,,32003,5734,1748,0.027,0.032,0.054,0.145,0.742,2020-05-21,84.0,73.6
2,No,,,32003,5815,1748,0.027,0.032,0.054,0.145,0.742,2020-05-22,81.0,89.8
2,No,,,32003,5815,1748,0.027,0.032,0.054,0.145,0.742,2020-05-23,0.0,70.4
2,No,,,32003,6140,1748,0.027,0.032,0.054,0.145,0.742,2020-05-24,325.0,135.4
2,No,,,32003,6182,1748,0.027,0.032,0.054,0.145,0.742,2020-05-25,42.0,106.4
2,No,,,32003,6226,1748,0.027,0.032,0.054,0.145,0.742,2020-05-26,44.0,98.4
2,No,,,32003,6287,1748,0.027,0.032,0.054,0.145,0.742,2020-05-27,61.0,94.4
2,No,,,32003,6352,1748,0.027,0.032,0.054,0.145,0.742,2020-05-28,65.0,107.4
2,No,,,32003,2144,1748,0.027,0.032,0.054,0.145,0.742,2020-04-10,-4208.0,-799.2
2,No,,,32003,2144,1748,0.027,0.032,0.054,0.145,0.742,2020-04-11,0.0,-807.6
2,No,,,32003,2324,1748,0.027,0.032,0.054,0.145,0.742,2020-04-12,180.0,-780.4
2,No,,,32003,2444,1748,0.027,0.032,0.054,0.145,0.742,2020-04-13,120.0,-768.6
2,No,,,32003,2509,1748,0.027,0.032,0.054,0.145,0.742,2020-04-14,65.0,-768.6
2,No,,,32003,2559,1748,0.027,0.032,0.054,0.145,0.742,2020-04-15,50.0,83.0
2,No,,,32003,2559,1748,0.027,0.032,0.054,0.145,0.742,2020-04-16,0.0,83.0
2,No,,,32003,2738,1748,0.027,0.032,0.054,0.145,0.742,2020-04-17,179.0,82.8
2,No,,,32003,2882,1748,0.027,0.032,0.054,0.145,0.742,2020-04-18,144.0,87.6
2,No,,,32003,2940,1748,0.027,0.032,0.054,0.145,0.742,2020-04-19,58.0,86.2
2,No,,,32003,2998,1748,0.027,0.032,0.054,0.145,0.742,2020-04-20,58.0,87.8
2,No,,,32003,3099,1748,0.027,0.032,0.054,0.145,0.742,2020-04-21,101.0,108.0
2,No,,,32003,3218,1748,0.027,0.032,0.054,0.145,0.742,2020-04-22,119.0,96.0
2,No,,,32003,3314,1748,0.027,0.032,0.054,0.145,0.742,2020-04-23,96.0,86.4
2,No,,,32003,3443,1748,0.027,0.032,0.054,0.145,0.742,2020-04-24,129.0,100.6
2,No,,,32003,3570,1748,0.027,0.032,0.054,0.145,0.742,2020-04-25,127.0,114.4
2,No,,,32003,3665,1748,0.027,0.032,0.054,0.145,0.742,2020-04-26,95.0,113.2
2,No,,,32003,3717,1748,0.027,0.032,0.054,0.145,0.742,2020-04-27,52.0,99.8
2,No,,,32003,3793,1748,0.027,0.032,0.054,0.145,0.742,2020-04-28,76.0,95.8
2,No,,,32003,3891,1748,0.027,0.032,0.054,0.145,0.742,2020-04-29,98.0,89.6
2,No,,,32003,3979,1748,0.027,0.032,0.054,0.145,0.742,2020-04-30,88.0,81.8
2,No,,,32003,4118,1748,0.027,0.032,0.054,0.145,0.742,2020-05-01,139.0,90.6
2,No,,,32003,4225,1748,0.027,0.032,0.054,0.145,0.742,2020-05-02,107.0,101.6
2,No,,,32003,4274,1748,0.027,0.032,0.054,0.145,0.742,2020-05-03,49.0,96.2
2,No,,,32003,4411,1748,0.027,0.032,0.054,0.145,0.742,2020-05-04,137.0,104.0
2,No,,,32003,4408,1748,0.027,0.032,0.054,0.145,0.742,2020-05-05,-3.0,85.8
2,No,,,32003,4473,1748,0.027,0.032,0.054,0.145,0.742,2020-05-06,65.0,71.0
2,No,,,32003,4573,1748,0.027,0.032,0.054,0.145,0.742,2020-05-07,100.0,69.6
2,No,,,32003,4573,1748,0.027,0.032,0.054,0.145,0.742,2020-05-08,0.0,59.8
2,No,,,32003,4704,1748,0.027,0.032,0.054,0.145,0.742,2020-05-09,131.0,58.6
2,No,,,32003,4750,1748,0.027,0.032,0.054,0.145,0.742,2020-05-10,46.0,68.4
2,No,,,32003,4762,1748,0.027,0.032,0.054,0.145,0.742,2020-05-11,12.0,57.8
2,No,,,32003,4869,1748,0.027,0.032,0.054,0.145,0.742,2020-05-12,107.0,59.2
2,No,,,32003,5045,1748,0.027,0.032,0.054,0.145,0.742,2020-05-13,176.0,94.4
2,No,,,32003,5045,1748,0.027,0.032,0.054,0.145,0.742,2020-05-14,0.0,68.2
2,No,,,32003,5235,1748,0.027,0.032,0.054,0.145,0.742,2020-05-15,190.0,97.0
2,No,,,32003,5298,1748,0.027,0.032,0.054,0.145,0.742,2020-05-16,63.0,107.2
